level,cmh_chi2,df,p,n_strata,cond_number,p_holm
A1,21.752032827858812,14,0.0838550479440996,2,315.4465145543057,0.0838550479440996
A2,84.48105066852389,14,4.138919071146688e-12,3,177.82317159923767,2.4833514426880132e-11
B1,55.09024716412082,14,8.354327987622645e-07,3,39.57794436482555,2.5062983962867932e-06
B2,65.21564702773503,14,1.400042025926585e-08,3,37.40792454547018,7.000210129632925e-08
C1,57.54891664631276,14,3.141622558748652e-07,3,37.18680939666232,1.2566490234994608e-06
C2,52.698928516230055,14,2.140416742472244e-06,3,36.04204464916819,4.280833484944488e-06
