,precision,recall,f1-score,support,predicted_n
A1,0.5,0.03636363636363636,0.06779661016949153,55.0,4
A2,0.5763546798029556,0.7647058823529411,0.6573033707865169,306.0,406
B1,0.5381526104417671,0.40483383685800606,0.46206896551724136,331.0,249
B2,0.6721311475409836,0.8395904436860068,0.7465857359635811,293.0,366
C1,0.0,0.0,0.0,42.0,2
