features,status,n_topic_components,n_cross_topic_groups,random_splits_weighted_f1,topic_grouped_weighted_f1,drop_weighted_f1,random_splits_macro_f1,topic_grouped_macro_f1,random_splits_qwk,topic_grouped_qwk,floor_weighted_f1
topic mixture,ok,15,0,0.32645169597171486,0.2732740942576743,0.05317760171404057,0.21434516749228702,0.2237529718333513,0.3205571107867671,0.27567632389118635,0.14720207622298065
full text (TF-IDF),ok,15,0,0.38911529143425055,0.32892654759860734,0.06018874383564321,0.2600436510145478,0.2014472988833845,0.5061757455807498,0.4226444320911511,0.14720207622298065
