level,cmh_chi2,df,p,n_strata,cond_number,p_holm
A1,135.62874647683057,14,5.233156093743426e-22,2,281.16047011171173,2.0932624374973705e-21
A2,168.87589861684398,14,1.1549345783693212e-28,4,40.48684340824358,5.774672891846607e-28
B1,85.77518313694141,14,2.3684429751114263e-12,4,40.112569548889034,7.105328925334279e-12
B2,277.8805683743666,14,4.7606284727872884e-51,2,338.13379346201583,2.856377083672373e-50
C1,74.40657324163423,14,3.039956829161517e-10,2,163.02746359687143,6.079913658323034e-10
C2,41.869811903935016,14,0.00012964673429934136,2,120.85818004317711,0.00012964673429934136
