corpus,n,n_levels,v,ci_lo,ci_hi,ci_method,boot_sd,perm_p,perm_p_label,chi2_p,v_matched_n_mean,v_matched_n_sd,v_matched_n_lo,v_matched_n_hi,epsilon_squared,min_detectable_v_80pct,power_sim_type_i_error,boot_bias,ci_lo_bootstrap_normal,ci_hi_bootstrap_normal,ci_lo_percentile,ci_hi_percentile,perm_p_holm
cefr_asag_en,266,6,0.23507499790369615,0.16943542075607174,0.2961536412090261,noncentral chi-square inversion,0.02725112996192248,0.0007998400319936012,8.00e-04,1.1549489164950321e-07,0.23507499790369615,0.0,0.23507499790369615,0.23507499790369615,0.2708826489796377,0.18228744460992288,0.05,0.04301362295457259,0.1816637646403077,0.2884862311670846,0.2253707509830045,0.3335551297408173,0.0015996800639872025
elg_cefr_en,711,6,0.2041178102527845,0.16706818330014872,0.2402290732856734,noncentral chi-square inversion,0.018820000236880616,0.0001999600079984003,< 2.0e-04,5.604186752478678e-17,0.189354850221293,0.029555898698697628,0.13087682941783518,0.2456294764137161,0.14046955889547302,0.12264882723876643,0.05,0.030948457095195836,0.1672312875994632,0.2410043329061058,0.19730607436710096,0.27221289075546595,0.0005998800239952009
icle500_en,488,5,0.08822107028367657,0.0,0.14984807956836668,noncentral chi-square inversion,0.02966220734142046,0.07178564287142572,7.18e-02,0.055914752885275046,0.08157845392786044,0.048273871734823295,0.0,0.16468618708739483,0.034065350894893154,0.13261749765515324,0.05,0.07237357668991956,0.030084212192532878,0.14635792837482026,0.10080689801848103,0.21879163524848103,0.07178564287142572
