accuracy,macro_f1,weighted_f1,adjacent_accuracy,qwk,train,test,setting,n_train,n_test,evaluation_levels,test_coverage
0.5487179487179488,0.3166451066992863,0.5215263911024807,0.9128205128205128,0.3185458428384216,cefr_asag_en,cefr_asag_en,in-corpus CV,195,195,"B1,B2,C1,C2",0.7330827067669173
0.3834862385321101,0.22210818623656886,0.2925243520875186,0.710091743119266,0.019317512446642704,cefr_asag_en,elg_cefr_en,transfer,195,545,"B1,B2,C1,C2",0.7665260196905767
0.2915811088295688,0.24449830942270936,0.2926783212938327,0.7268993839835729,-0.0262492315997922,cefr_asag_en,icle500_en,transfer,195,487,"B1,B2,C1,C2",0.9979508196721312
0.4256410256410256,0.27593420659949575,0.45619995333260693,0.6820512820512821,0.2232704402515724,elg_cefr_en,cefr_asag_en,transfer,545,195,"B1,B2,C1,C2",0.7330827067669173
0.45688073394495415,0.36330587370424466,0.4210006722047889,0.7963302752293578,0.30287842014973154,elg_cefr_en,elg_cefr_en,in-corpus CV,545,545,"B1,B2,C1,C2",0.7665260196905767
0.34496919917864477,0.2650809098662945,0.3299484900256017,0.7700205338809035,0.10942702569193419,elg_cefr_en,icle500_en,transfer,545,487,"B1,B2,C1,C2",0.9979508196721312
0.4512820512820513,0.18697201017811704,0.3600046975924838,0.7743589743589744,-0.03499115392176133,icle500_en,cefr_asag_en,transfer,487,195,"B1,B2,C1,C2",0.7330827067669173
0.4,0.24882108023555394,0.31184493319331563,0.6935779816513762,0.1766252420709732,icle500_en,elg_cefr_en,transfer,487,545,"B1,B2,C1,C2",0.7665260196905767
0.4414784394250513,0.22104493971501643,0.33298347461473654,0.8603696098562629,0.09675199868374795,icle500_en,icle500_en,in-corpus CV,487,487,"B1,B2,C1,C2",0.9979508196721312
