,precision,recall,f1-score,support,predicted_n
A1,0.0,0.0,0.0,42.0,0
A2,0.3699421965317919,0.32653061224489793,0.34688346883468835,196.0,173
B1,0.34912280701754383,0.47607655502392343,0.402834008097166,418.0,570
B2,0.4309623430962343,0.6791208791208792,0.5273037542662116,455.0,717
C1,0.2,0.004629629629629629,0.00904977375565611,216.0,5
C2,0.0,0.0,0.0,138.0,0
