accuracy,macro_f1,weighted_f1,adjacent_accuracy,qwk,train,test,setting,n_train,n_test,evaluation_levels,test_coverage
0.533798120642619,0.49869324725192643,0.5053281889580711,1.0,0.044698554092920895,apa_lha,apa_lha,in-corpus CV,3299,3299,"A2,B1",1.0
0.546583850931677,0.5105816923304708,0.5105816923304708,1.0,0.09316770186335399,apa_lha,deplain_apa_doc,transfer,3299,966,"A2,B1",1.0
0.5,0.39830634378249885,0.39830634378249885,1.0,0.0,apa_lha,elg_cefr_de,transfer,3299,180,"A2,B1",0.35363457760314343
0.5447409733124019,0.4955047956129427,0.48931934615321165,1.0,0.11260880425801745,apa_lha,merlin_de,transfer,3299,637,"A2,B1",0.6178467507274491
0.5219763564716581,0.5197224049315359,0.5213679890205631,1.0,0.03977465581080031,deplain_apa_doc,apa_lha,transfer,966,3299,"A2,B1",1.0
0.5714285714285714,0.5708969957081544,0.5708969957081544,1.0,0.1428571428571429,deplain_apa_doc,deplain_apa_doc,in-corpus CV,966,966,"A2,B1",1.0
0.48333333333333334,0.4831897749374826,0.48318977493748255,1.0,-0.03333333333333344,deplain_apa_doc,elg_cefr_de,transfer,966,180,"A2,B1",0.35363457760314343
0.5133437990580848,0.49185297266139655,0.49595427540885617,1.0,0.012264783265473533,deplain_apa_doc,merlin_de,transfer,966,637,"A2,B1",0.6178467507274491
0.5137920581994544,0.5130704375486322,0.5121328989078003,1.0,0.03372223565391608,elg_cefr_de,apa_lha,transfer,180,3299,"A2,B1",1.0
0.515527950310559,0.5106954997077732,0.5106954997077732,1.0,0.03105590062111796,elg_cefr_de,deplain_apa_doc,transfer,180,966,"A2,B1",1.0
0.5166666666666667,0.5159345924391827,0.5159345924391827,1.0,0.033333333333333326,elg_cefr_de,elg_cefr_de,in-corpus CV,180,180,"A2,B1",0.35363457760314343
0.4897959183673469,0.4784384266362333,0.4754178171332775,1.0,-0.007190569553435555,elg_cefr_de,merlin_de,transfer,180,637,"A2,B1",0.6178467507274491
0.5034859048196423,0.4679132853449539,0.46103229799053,1.0,0.03436276035738006,merlin_de,apa_lha,transfer,637,3299,"A2,B1",1.0
0.4834368530020704,0.4326575529492076,0.4326575529492076,1.0,-0.0331262939958592,merlin_de,deplain_apa_doc,transfer,637,966,"A2,B1",1.0
0.5111111111111111,0.39808481532147744,0.3980848153214774,1.0,0.022222222222222254,merlin_de,elg_cefr_de,transfer,637,180,"A2,B1",0.35363457760314343
0.6938775510204082,0.6937296121783254,0.6934654356746064,1.0,0.3897478223702633,merlin_de,merlin_de,in-corpus CV,637,637,"A2,B1",0.6178467507274491
