label,precision,recall,f1-score,support
B1,0.44642857142857145,0.21929824561403508,0.29411764705882354,114.0
B2,0.4460093896713615,0.8715596330275229,0.5900621118012422,218.0
C1,0.0,0.0,0.0,91.0
C2,0.0,0.0,0.0,64.0
accuracy,0.4414784394250513,0.4414784394250513,0.4414784394250513,0.4414784394250513
macro avg,0.22310949027498322,0.2727144696603895,0.22104493971501643,487.0
weighted avg,0.3041538071688171,0.4414784394250513,0.33298347461473654,487.0
