k,npmi,diversity,reconstruction_err
5,0.13414822086919204,0.936,
8,0.0980034508398544,0.84,
10,0.13011951756678536,0.844,
12,0.10313445940177167,0.8566666666666667,
15,0.07802188094712643,0.856,
20,0.06263797396384461,0.846,
25,0.042205518271766905,0.8544,
30,0.021671316838154122,0.8146666666666667,
