,precision,recall,f1-score,support,predicted_n
A1,0.0,0.0,0.0,86.0,0
A2,0.5271271864808775,0.6809651474530831,0.5942513368983957,2611.0,3373
B1,0.47781217750258,0.3747470659651963,0.4200498979360399,2471.0,1938
B2,0.5,0.6053921568627451,0.5476718403547672,408.0,494
C1,0.0,0.0,0.0,130.0,0
C2,0.0,0.0,0.0,99.0,0
