cefr_level,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A1,0,4,4,0,4,0,0,35,0,0,13,0,0,0,26
A2,421,84,141,192,32,144,368,230,48,82,185,174,30,333,147
B1,323,137,136,179,62,139,330,159,63,70,142,167,47,400,117
B2,0,26,96,1,86,0,4,27,85,0,11,1,59,5,7
C1,0,2,15,1,22,0,2,7,39,0,15,0,22,3,2
C2,1,7,4,2,11,0,2,7,32,2,9,1,11,6,4
