k,npmi,diversity,reconstruction_err
5,0.09746567526393868,0.928,
8,0.07475513964772293,0.88,
10,0.08369826088618618,0.84,
12,0.08993989411351229,0.8166666666666667,
15,0.07826934801802427,0.768,
20,0.08987118258094451,0.752,
25,0.07143928339298336,0.7296,
30,0.0667470712187946,0.716,
