,precision,recall,f1-score,support,predicted_n
A1,0.28,0.22580645161290322,0.25,31.0,25
A2,0.3090909090909091,0.37777777777777777,0.34,90.0,110
B1,0.2857142857142857,0.2,0.23529411764705882,90.0,63
B2,0.33858267716535434,0.3739130434782609,0.35537190082644626,115.0,127
C1,0.32653061224489793,0.36363636363636365,0.34408602150537637,88.0,98
C2,0.3488372093023256,0.3157894736842105,0.3314917127071823,95.0,86
