accuracy,macro_f1,weighted_f1,adjacent_accuracy,qwk,model,cv,macro_f1_fold_sd,weighted_f1_fold_sd,weighted_f1_ci_low,weighted_f1_ci_high,macro_f1_perm_p
0.22593320235756384,0.061431623931623935,0.08327666112538412,0.5756385068762279,0.0,majority class,grouped,0.005939951743090789,0.018526009035273298,,,
0.2593320235756385,0.21027715681844883,0.2366668515892727,0.6247544204322201,0.3408785258366739,topic id (one-hot),grouped,0.03315987083991382,0.042083696049914306,,,
0.3280943025540275,0.3211348432296174,0.32112237639168856,0.724950884086444,0.4742751318117777,topic mixture,ungrouped,0.05751395674756046,0.04310925828227383,,,
0.32220039292730845,0.30937395878101065,0.3185963099861141,0.7151277013752456,0.4511485969157276,topic mixture,grouped,0.03544330924163722,0.028374188549024286,0.2777506974612593,0.357767262967463,0.004975124378109453
0.33398821218074654,0.3397447032814053,0.32579875566437533,0.7072691552062869,0.4794751612571446,topic mixture (class-weighted),grouped,0.02734078655106587,0.031222358027067854,,,
